"Designator","Qty","Value","Footprint","MPN","Manufacturer","Rating","LCSC","DNP"
"BZ1","1","Buzzer","Buzzer_Beeper:Buzzer_CUI_CPT-9019S-SMT","CPT-9019S-SMT","CUI Devices","piezo transducer, external drive","C95163","DNP"
"C16","1","100nF","Capacitor_SMD:C_0805_2012Metric","CL21B104KBCNNNC","Samsung","50V X7R, ADC filter","C1711",""
"C2,C7,C9,C10,C17-C19","7","100nF","Capacitor_SMD:C_0805_2012Metric","CL21B104KBCNNNC","Samsung","50V X7R","C1711",""
"C3,C12,C13","3","10uF","Capacitor_SMD:C_0805_2012Metric","CL21A106KOQNNNE","Samsung","16V X5R","C1713",""
"C4,C20,C21","3","1uF","Capacitor_SMD:C_0805_2012Metric","CL21A105KBFNNNE","Samsung","25V X5R","",""
"C5","1","10uF","Capacitor_SMD:C_0805_2012Metric","CL21A106KOQNNNE","Samsung","25V X5R","C1713",""
"C6,C14","2","22uF","Capacitor_SMD:C_0805_2012Metric","CL21A226MOQNNNE","Samsung","16V X5R","C98190",""
"D1","1","WS2812B","LED_SMD:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","WS2812B","Worldsemi","VDD 3.5-5.3V","",""
"D11","1","1N4148W","Diode_SMD:D_SOD-123","1N4148W-7-F","Diodes Incorporated","drops +5V_EXT to ~4.3V for D1","C83528",""
"D12","1","GREEN","LED_SMD:LED_0805_2012Metric","150080GS75000","Wurth","green, power-on indicator","",""
"D2,D3,D5-D10,D13-D15","11","PESD5V0L1UL","Diode_SMD:D_SOD-882","PESD5V0L1UL","Nexperia","","C552556",""
"D4","1","SS14","Diode_SMD:D_SMA","SS14","Diodes Incorporated","Schottky 1A/40V, flyback for the switched output","","DNP"
"F1","1","500mA","Fuse:Fuse_1812_4532Metric","MF-MSMF050-2","Bourns","PTC, 500mA hold, 6V","C17313",""
"J1","1","USB-C","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12","TYPE-C-31-M-12","HRO","","C165948",""
"J2","1","Second I2C Bus","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","","","","","DNP"
"J3","1","mmWave UART (LD2410)","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","","","","","DNP"
"J4","1","I2S Mic (INMP441)","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","","","","","DNP"
"J5","1","Switched DC Output","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","","","","","DNP"
"J6","1","Reed/Hall Contact","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","","","","","DNP"
"J7","1","1-Wire Bus","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","","","","","DNP"
"J8","1","Analog Sensor Pad","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","","","","","DNP"
"J9","1","Expansion Header","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","","","","","DNP"
"L1","1","2.2uH","Inductor_SMD:L_1210_3225Metric","SRN3015-2R2M","Bourns","Isat >= 1.5A, DCR < 100mOhm","C2041716",""
"Q3","1","AO3400A","Package_TO_SOT_SMD:SOT-23","AO3400A","Alpha & Omega","logic-level N-FET, 5.7A, Vgs(th) < 1.4V","C20917","DNP"
"Q4","1","MMBT3904","Package_TO_SOT_SMD:SOT-23","MMBT3904","onsemi","","C81464","DNP"
"R1,R2","2","5.1k","Resistor_SMD:R_0805_2012Metric","RC0805FR-075K1L","Yageo","1%, 1/8W","C84375",""
"R10,R11","2","4.7k","Resistor_SMD:R_0805_2012Metric","RC0805FR-074K7L","Yageo","1%","C60816","DNP"
"R12","1","100R","Resistor_SMD:R_0805_2012Metric","RC0805FR-07100RL","Yageo","1%, gate series","C105577","DNP"
"R13","1","1k","Resistor_SMD:R_0805_2012Metric","RC0805FR-071KL","Yageo","1%, base series","C95781","DNP"
"R14","1","4.7k","Resistor_SMD:R_0805_2012Metric","RC0805FR-074K7L","Yageo","1%, 1-Wire pull-up","C60816","DNP"
"R15-R17","3","220R","Resistor_SMD:R_0805_2012Metric","RC0805FR-07220RL","Yageo","1%, ESD series","C114519",""
"R18","1","100k","Resistor_SMD:R_0805_2012Metric","RC0805FR-07100KL","Yageo","1%, gate pull-down","C96346","DNP"
"R21","1","2.2k","Resistor_SMD:R_0805_2012Metric","RC0805FR-072K2L","Yageo","1%, 1/8W","C114561",""
"R22","1","4.7R","Resistor_SMD:R_0805_2012Metric","RC0805FR-074R7L","Yageo","1%, SGP41 VDD RC element","C137513",""
"R3,R4,R20","3","10k","Resistor_SMD:R_0805_2012Metric","RC0805FR-0710KL","Yageo","1%, 1/8W","C84376",""
"R7","1","330R","Resistor_SMD:R_0805_2012Metric","RC0805FR-07330RL","Yageo","1%, 1/8W","C105878",""
"R8,R9","2","4.7k","Resistor_SMD:R_0805_2012Metric","RC0805FR-074K7L","Yageo","1%, I2C pull-up","C60816",""
"SW1","1","RESET","Button_Switch_SMD:SW_SPST_PTS810","PTS810 SJM 250 SMTR LFS","C&K","","C116501",""
"SW2","1","BOOT","Button_Switch_SMD:SW_SPST_PTS810","PTS810 SJM 250 SMTR LFS","C&K","","C116501",""
"TP1","1","JTAG_MTDI","TestPoint:TestPoint_Pad_1.5x1.5mm","","","","",""
"TP10","1","IO0","TestPoint:TestPoint_Pad_1.5x1.5mm","","","","",""
"TP11","1","UART0_TX","TestPoint:TestPoint_Pad_1.5x1.5mm","","","","",""
"TP12","1","UART0_RX","TestPoint:TestPoint_Pad_1.5x1.5mm","","","","",""
"TP13","1","LED_DOUT","TestPoint:TestPoint_Pad_1.5x1.5mm","","","","",""
"TP2","1","JTAG_MTCK","TestPoint:TestPoint_Pad_1.5x1.5mm","","","","",""
