Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0805_2012Metric",30.000000,-23.000000,0.000000,bottom
"C2","100nF","C_0805_2012Metric",30.000000,-31.000000,0.000000,bottom
"C3","10uF","C_0805_2012Metric",30.000000,-10.000000,0.000000,bottom
"C4","1uF","C_0805_2012Metric",36.000000,-22.000000,0.000000,bottom
"C5","10uF","C_0805_2012Metric",42.000000,-17.000000,0.000000,bottom
"C6","22uF","C_0805_2012Metric",30.000000,-17.000000,0.000000,bottom
"C7","2.2nF","C_0805_2012Metric",20.000000,-10.000000,0.000000,bottom
"C8","100nF","C_0805_2012Metric",34.000000,-44.000000,0.000000,bottom
"C9","100nF","C_0805_2012Metric",46.000000,-44.000000,0.000000,bottom
"C10","100nF","C_0805_2012Metric",58.000000,-44.000000,0.000000,bottom
"D2","PESD5V0L1UL","D_SOD-882",66.000000,-18.000000,0.000000,bottom
"D3","PESD5V0L1UL","D_SOD-882",66.000000,-22.000000,0.000000,bottom
"D4","1N4148W","D_SOD-123",18.000000,-60.000000,0.000000,bottom
"D5","PESD5V0L1UL","D_SOD-882",30.000000,-56.000000,0.000000,bottom
"D6","PESD5V0L1UL","D_SOD-882",38.000000,-56.000000,0.000000,bottom
"D7","PESD5V0L1UL","D_SOD-882",46.000000,-56.000000,0.000000,bottom
"D8","PESD5V0L1UL","D_SOD-882",50.000000,-56.000000,0.000000,bottom
"D9","PESD5V0L1UL","D_SOD-882",56.000000,-56.000000,0.000000,bottom
"D10","PESD5V0L1UL","D_SOD-882",60.000000,-56.000000,0.000000,bottom
"F1","500mA","Fuse_1206_3216Metric",7.000000,-17.000000,0.000000,bottom
"Q1","MMBT3904","SOT-23",22.000000,-23.000000,0.000000,bottom
"Q2","MMBT3904","SOT-23",22.000000,-31.000000,0.000000,bottom
"R1","5.1k","R_0805_2012Metric",26.000000,-23.000000,0.000000,bottom
"R2","5.1k","R_0805_2012Metric",26.000000,-31.000000,0.000000,bottom
"R3","10k","R_0805_2012Metric",6.000000,-38.000000,0.000000,bottom
"R4","10k","R_0805_2012Metric",10.000000,-38.000000,0.000000,bottom
"R5","10k","R_0805_2012Metric",14.000000,-38.000000,0.000000,bottom
"R6","10k","R_0805_2012Metric",18.000000,-38.000000,0.000000,bottom
"R7","330R","R_0805_2012Metric",26.000000,-12.000000,0.000000,bottom
"R8","4.7k","R_0805_2012Metric",34.000000,-50.000000,0.000000,bottom
"R9","4.7k","R_0805_2012Metric",46.000000,-50.000000,0.000000,bottom
"U1","CH340C","SOIC-16_3.9x9.9mm_P1.27mm",14.000000,-27.000000,0.000000,bottom
"D1","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",26.000000,-6.000000,0.000000,top
"J1","USB-C","USB_C_Receptacle_HRO_TYPE-C-31-M-12",17.000000,-9.000000,90.000000,top
"L1","2.2uH","L_1210_3225Metric",36.000000,-17.000000,0.000000,top
"SW1","RESET","SW_SPST_PTS810",6.000000,-40.000000,0.000000,top
"SW2","BOOT","SW_SPST_PTS810",12.000000,-40.000000,0.000000,top
"U2","AP63203WU-7","TSOT-23-6",36.000000,-10.000000,0.000000,top
"U3","ESP32-WROOM-32","ESP32-WROOM-32",58.000000,-29.000000,0.000000,top
"U4","SCD41-D-R2","Sensirion_SCD4x-1EP_10.1x10.1mm_P1.25mm_EP4.8x4.8mm",24.000000,-46.000000,0.000000,top
"U5","BME680","Bosch_LGA-8_3x3mm_P0.8mm_ClockwisePinNumbering",40.000000,-44.000000,0.000000,top
"U6","BH1750FVI-TR","BH1750FVI-TR_WSOF6",52.000000,-46.000000,0.000000,top
